Supervisor Name,Supervisor Email,Job Title,Start Date,End Date,Ongoing,Salary,Employer Name,Employer Email Address,Status,Offer Accepted?,Student Email Address,Student Username,Student First Name,Student Last Name,Job Type,Employment Type,Industry,Location Address,Location City,Location State,Location Country
Susan Morales,susan_morales@redcross.org,Business / Financial Data Analyst,10/26/13,1/26/14,f,118132,Handshake,hr@joinhandshake.com,declined,no,anna.hall@amaranta.edu,anna_hall,Anna,Hall,Job,Full-Time,Internet,"Palo Alto, CA, USA",Palo Alto,California,United States
Debbie James,debbie_james@joinhandshake.com,Business / Financial Data Analyst,10/26/13,1/26/14,f,101615,Handshake,hr@joinhandshake.com,pending,no,allison.gilbert@amaranta.edu,allison_gilbert,Allison,Gilbert,Job,Full-Time,Internet,"Palo Alto, CA, USA",Palo Alto,California,United States
Arthur Bates,arthur_bates@umusic.com,"Sales Intern, Crop Protection and Seeds",10/26/13,1/26/14,t,48294,Dow AgroSciences,hr@dowagro.com,approved,undecided,yvonne.nelson@amaranta.edu,yvonne_nelson,Yvonne,Nelson,Internship,Full-Time,Chemicals,"Bakersfield, CA, USA",Bakersfield,California,United States
Delores Rivera,delores_rivera@nucor.com,Research Biologist,10/26/13,1/26/14,t,49898,United States Department of Agriculture,hr@usda.gov,declined,yes,ethel.kelly@amaranta.edu,ethel_kelly,Ethel,Kelly,Job,Full-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
Norman Snyder,norman.snyder@amaranta.edu,,10/26/13,1/26/14,f,77453,TED Conferences,hr@ted.com,declined,no,miriam.lane@amaranta.edu,miriam_lane,Miriam,Lane,,,Non-Profit/Volunteering,"New York, NY, USA",New York,New York,United States
Edna Ward,edna_ward@ted.com,,10/26/13,1/26/14,f,95876,TED Conferences,hr@ted.com,approved,no,bessie.morris@amaranta.edu,bessie_morris,Bessie,Morris,,,Non-Profit/Volunteering,"New York, NY, USA",New York,New York,United States
Aubree Wright,aubree_wright@abc-company.com,Social Engagment Specialist,10/26/12,1/26/13,t,96710,Disney,hr@disney.com,declined,no,marvin.kim@amaranta.edu,marvin_kim,Marvin,Kim,Job,,,"Bakersfield, CA, USA",Bakersfield,California,United States
Gertrude Caldwell,gertrude_caldwell@redcross.org,Associate editor social media ESPN FC,10/26/12,1/26/13,t,113327,ESPN,hr@espn.com,approved,no,shane.harrison@amaranta.edu,shane_harrison,Shane,Harrison,Job,,,"Bakersfield, CA, USA",Bakersfield,California,United States
Adam Richardson,staff@amaranta.edu,Associate editor social media ESPN FC,10/26/13,1/26/14,f,119462,ESPN,hr@espn.com,approved,no,felix.lane@amaranta.edu,felix_lane,Felix,Lane,Job,,,"Bakersfield, CA, USA",Bakersfield,California,United States
Delores Rivera,delores_rivera@century21.com,Content Analyst,10/26/13,1/26/14,t,111890,ESPN,hr@espn.com,approved,undecided,staff@amaranta.edu,staff,Student,Amaranta University,Job,,,"Bakersfield, CA, USA",Bakersfield,California,United States
Henry Holland,henry_holland@ted.com,High School Special Education Teacher,10/26/13,1/26/14,f,35489,Edison Learning,hr@edisonlearning.com,declined,yes,robert.payne@amaranta.edu,robert_payne,Robert,Payne,Job,Full-Time,,"Bakersfield, CA, USA",Bakersfield,California,United States
